iter	RMSE
0	5.403054678
1	5.373681561
2	5.348015797
3	5.342789632
4	5.324747314
5	5.312394485
6	5.307722668
7	5.290016048
8	5.28037385
9	5.263821021
10	5.251545059
11	5.245267929
12	5.227914128
13	5.215566125
14	5.205954277
15	5.196434876
16	5.190069471
17	5.183493663
18	5.179839103
19	5.177396735
20	5.169275727
21	5.161783075
22	5.159263788
23	5.15414591
24	5.150748149
25	5.147809008
26	5.141488438
27	5.134092679
28	5.12679712
29	5.123204095
30	5.108659272
31	5.095399331
32	5.090405277
33	5.086981428
34	5.083283096
35	5.082579015
36	5.081863556
37	5.071853768
38	5.071186377
39	5.066766321
40	5.059880532
41	5.059060929
42	5.055978243
43	5.054725173
44	5.053642001
45	5.048763762
46	5.048231644
47	5.048089212
48	5.045925506
49	5.041391642
50	5.035934136
51	5.030863287
52	5.027804058
53	5.027406358
54	5.022597331
55	5.022364554
56	5.021750474
57	5.020493075
58	5.014223082
59	5.012764762
60	5.00344701
61	4.997684462
62	4.997523112
63	4.996495616
64	4.994511206
65	4.985950007
66	4.984834771
67	4.982120141
68	4.97630974
69	4.973238936
70	4.965829667
71	4.962920159
72	4.956136481
73	4.946723782
74	4.943869747
75	4.937524285
76	4.928604931
77	4.921992359
78	4.91840084
79	4.912591652
80	4.909048409
81	4.908297666
82	4.904125532
83	4.897609155
84	4.893309275
85	4.888127142
86	4.883475101
87	4.878600466
88	4.872956803
89	4.868002033
90	4.864208992
91	4.862185202
92	4.860289
93	4.856778793
94	4.852296891
95	4.848545419
96	4.846231224
97	4.842754661
98	4.838497558
99	4.835854846
