iter	Passed	Remaining
0	53	5320
1	54	2669
2	55	1791
3	55	1340
4	56	1076
5	57	898
6	57	767
7	58	672
8	59	597
9	59	537
10	60	487
11	60	446
12	61	411
13	62	381
14	62	354
15	63	332
16	63	312
17	64	293
18	64	276
19	65	262
20	66	249
21	66	237
22	67	225
23	67	214
24	68	204
25	68	195
26	69	187
27	69	179
28	70	171
29	70	164
30	70	157
31	71	151
32	71	145
33	72	140
34	72	134
35	72	129
36	73	124
37	73	119
38	73	115
39	74	111
40	74	107
41	74	103
42	75	99
43	75	95
44	75	92
45	75	89
46	76	86
47	76	82
48	76	79
49	77	77
50	77	74
51	77	71
52	78	69
53	78	66
54	78	64
55	78	62
56	79	59
57	79	57
58	79	55
59	80	53
60	80	51
61	80	49
62	81	47
63	81	45
64	81	44
65	82	42
66	82	40
67	82	38
68	83	37
69	83	35
70	83	34
71	84	32
72	84	31
73	84	29
74	85	28
75	85	26
76	85	25
77	85	24
78	86	22
79	86	21
80	86	20
81	87	19
82	87	17
83	87	16
84	88	15
85	88	14
86	88	13
87	89	12
88	89	11
89	89	9
90	89	8
91	90	7
92	90	6
93	90	5
94	91	4
95	91	3
96	91	2
97	92	1
98	92	0
99	92	0
